#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6
t`BCRxod}*	1706371006450	GZC III - Compleet	Wat is het immunofenotype van CLL?	"CD5+, CD19+, CD23+, met zwakke expressie van CD20 en zwak monoklonaal oppervlakte-immunoglobuline (lichte-ketenrestrictie)<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 CD5 + CD23 = CLL. CD5 zonder CD23 (maar mét cycline D1) = mantelcel.</span>"	GZC3::A::T2-maligne-hematologie GZC3::casus::2.3 GZC3::zelfstudie::Z03 check::behouden prio::tentamen vorm::ezelsbrug
qUWVHR#.wz	1706371006450	GZC III - Compleet	Wat zijn de symptomen van hypercalciëmie?	"Polyurie en polydipsie met dehydratie, obstipatie, misselijkheid en braken, buikpijn, spierzwakte, moeheid, verwardheid tot coma, nierstenen, en ECG-afwijkingen met verkort QT-interval<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 „Stones, bones, groans, thrones and psychiatric overtones”: nierstenen, botpijn, buikklachten/obstipatie, polyurie en verwardheid.</span>"	GZC3::A::T2-maligne-hematologie GZC3::casus::3.1 GZC3::zelfstudie::Z04 check::behouden vorm::ezelsbrug
x,m0]b]^H6	1706371006450	GZC III - Compleet	Wat zijn de CRAB-criteria bij multipel myeloom?	"hyperCalciëmie, Renale insufficiëntie, Anemie, Botlaesies (lytisch). Aanwezigheid van één daarvan bij een klonale plasmacelziekte betekent behandelindicatie<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 CRAB = Calcium, Renaal, Anemie, Bot.</span>"	GZC3::A::T2-maligne-hematologie GZC3::casus::3.1 GZC3::zelfstudie::Z04 check::behouden prio::tentamen vorm::ezelsbrug
FItxYkPyw_	1706371006450	GZC III - Compleet	Aan welke erfelijke aandoening denk je bij een man met medullair schildkliercarcinoom en diarree, wiens tweelingbroer hetzelfde heeft?	"MEN2A: medullair schildkliercarcinoom, feochromocytoom en primaire hyperparathyreoïdie, door een kiembaanmutatie in het RET-proto-oncogen (autosomaal dominant). De diarree past bij hoge calcitoninespiegels. Ook MEN2B en familiair MTC horen in de differentiaal<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 MEN2A = 2 P&#x27;s + M: Pheochromocytoom, Parathyreoïd, Medullair. MEN2B: M + P + marfanoïde habitus en mucosale neurinomen (geen hyperparathyreoïdie).</span>"	GZC3::A::T4-orgaanspecifiek GZC3::casus::6.2 GZC3::zelfstudie::Z12 check::behouden vorm::ezelsbrug
syXvpd#BZ0	1706371006450	GZC III - Compleet	Wat zijn sensitiviteit en specificiteit?	"Sensitiviteit: de kans dat de test positief is bij mensen mét de ziekte — hoe goed je zieken opspoort<br>Specificiteit: de kans dat de test negatief is bij mensen zónder de ziekte — hoe goed je gezonden geruststelt. Beide zijn eigenschappen van de test en onafhankelijk van de prevalentie<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 SnNout: hoge Sensitiviteit, Negatief → ziekte uitgesloten (rule out). SpPin: hoge Specificiteit, Positief → ziekte aangetoond (rule in).</span>"	GZC3::B::B1-public-health GZC3::zelfstudie::Z15 check::behouden vorm::ezelsbrug
hRJvnE(F!w	1706371006450	GZC III - Compleet	Wat zijn positief en negatief voorspellende waarde, en waarvan hangen ze af?	"PVW: de kans dat iemand met een positieve test daadwerkelijk ziek is<br>NVW: de kans dat iemand met een negatieve test daadwerkelijk gezond is<br>Beide hangen sterk af van de prevalentie: bij screening in een gezonde populatie is de prevalentie laag, dus is de PVW laag en zijn veel positieven fout-positief<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 Weinig zieken in de populatie → de meeste positieven zijn fout-positief. Screening = lage prevalentie = lage PVW.</span>"	GZC3::B::B1-public-health GZC3::zelfstudie::Z15 check::behouden vorm::ezelsbrug
N{]K@0p`L:	1706371006450	GZC III - Compleet	Welke stollingsfactoren zijn vitamine K-afhankelijk?	"Factor II, VII, IX en X, plus de remmers proteïne C en S. Ezelsbruggetje 1972. Vitamine K is nodig voor gamma-carboxylering zodat de factoren calcium en fosfolipiden kunnen binden — het aangrijpingspunt van cumarines<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 1972 → factor 10, 9, 7, 2 (plus proteïne C en S).</span>"	GZC3::A::T1-benigne-hematologie GZC3::doelstelling check::behouden vorm::ezelsbrug
yZ~E(F(J:y	1706371006450	GZC III - Compleet	Wat zijn B-symptomen en waarom zijn ze van belang?	"Onverklaarde koorts boven 38 graden, nachtzweten waarvoor kleding verschoond moet worden, en meer dan 10% gewichtsverlies in 6 maanden. Ze wijzen op een hogere tumorload, geven de toevoeging B aan het Ann Arbor-stadium en verslechteren de prognose<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 KNG: Koorts &gt;38 °C, Nachtzweten, Gewichtsverlies &gt;10% in 6 maanden.</span>"	GZC3::A::T2-maligne-hematologie GZC3::doelstelling check::behouden vorm::ezelsbrug
s8O/RD/SWZ	1706371006450	GZC III - Compleet	Wat is het tumorlysissyndroom en hoe voorkom je het?	"Massaal uiteenvallen van tumorcellen, spontaan of na start van therapie, waarbij intracellulaire inhoud vrijkomt: kalium omhoog, fosfaat omhoog, urinezuur omhoog, calcium omlaag, en acuut nierfalen door uraat- en calciumfosfaatneerslag. Risico bij hoge tumorload en snel delende tumoren (acute leukemie, Burkitt). Preventie: ruime hydratie, allopurinol of rasburicase, en frequente labcontrole<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 „3 omhoog, 1 omlaag”: kalium, fosfaat, urinezuur ↑ — calcium ↓.</span>"	GZC3::A::T2-maligne-hematologie GZC3::doelstelling check::behouden vorm::ezelsbrug
P<Wy<RXC-V	1706371006450	GZC III - Compleet	Macrocytaire anemie — diagnostiek en behandeling?	"Diagnostiek: B12 en foliumzuur, reticulocyten, TSH, leverfunctie, uitstrijk (hypersegmentatie van neutrofielen is pathognomonisch voor B12-deficiëntie), anti-intrinsic factor-antistoffen<br>Behandeling: hydroxocobalamine of foliumzuur — sluit eerst B12-tekort uit voordat je foliumzuur geeft, anders dreigt neurologische verslechtering<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 Eerst B12, dan pas folaat: alleen foliumzuur geven maskeert de anemie, terwijl de zenuwschade doorgaat.</span>"	GZC3::ASPECT::behandeling GZC3::ZIEKTE::anemie-macrocytair GZC3::ziektebeelden check::behouden prio::tentamen vorm::ezelsbrug
KH9c{G[=_;	1706371006450	GZC III - Compleet	Via welke zenuwen ontstaat referred otalgie bij hoofd-halstumoren?	"Mondholte via de nervus trigeminus (V), orofarynx via de nervus glossopharyngeus (IX), en larynx/hypofarynx via de nervus vagus (X). Al deze zenuwen convergeren met de sensibele innervatie van het oor, waardoor het pijncentrum de bron niet meer kan lokaliseren. Unilaterale otalgie zonder oorafwijking is daarmee een alarmsymptoom dat op dieptedoorgroei wijst<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 V-IX-X = mond, orofarynx, larynx/hypofarynx: de pijn komt „via de achterdeur” in het oor.</span>"	GZC3::A::T4-orgaanspecifiek GZC3::doelstelling check::behouden prio::tentamen vorm::ezelsbrug
y5k!#E1;F`	1706371006450	GZC III - Compleet	Met welke klachten kan een neuroblastoom zich presenteren?	"Buikmassa (kan de middellijn overschrijden, anders dan Wilms), hangerigheid en algemene ziekteverschijnselen, botpijn bij metastasen, periorbitale ecchymosen ('brilhematoom'), Horner-syndroom bij cervicothoracale lokalisatie, dwarslaesie bij zandloperuitbreiding door het foramen, hypertensie, en zeldzaam opsoclonus-myoclonus of therapieresistente diarree door VIP<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 Neuroblastoom Neemt de middellijn; Wilms blijft Weg van de middellijn.</span>"	GZC3::A::T3-groepsspecifiek GZC3::casus::4.2 GZC3::zelfstudie::Z06 check::behouden prio::tentamen vorm::ezelsbrug
d2YS&NwI.~	1706371006450	GZC III - Compleet	Retinoblastoom — oorzaak en diagnostiek?	"Uitgaand van de retinacellen door mutatie in het RB1-tumorsuppressorgen. Bilateraal (40%) is altijd erfelijk; van de unilaterale gevallen (60%) is 10% erfelijk. Erfelijke vorm erft autosomaal dominant over.<br>Diagnostiek: fundoscopie, echografie en MRI voor het brein, plus onderzoek door de kinderarts. Kalkafzettingen in de tumor zijn vrijwel pathognomonisch<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 Bilateraal = altijd erfelijk (kiembaan RB1).</span>"	GZC3::ASPECT::diagnostiek GZC3::ZIEKTE::retinoblastoom GZC3::ziektebeelden check::behouden prio::tentamen vorm::ezelsbrug
N5XIA^w8%k	1706371006450	GZC III - Compleet	Wat is de trias van Virchow?	"De drie factoren die trombose bevorderen: stase (immobilisatie, boezemfibrilleren), endotheelschade (trauma, chirurgie, katheter) en hypercoagulabiliteit (maligniteit, zwangerschap, oestrogenen, trombofilie). Kanker raakt alle drie de assen, vandaar het sterk verhoogde tromboserisico.<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 Virchow = SEH: Stase, Endotheelschade, Hypercoagulabiliteit.</span>"	GZC3::A::T1-benigne-hematologie GZC3::doelstelling check::aangepast vorm::ezelsbrug
pF=Yk?q9`A	1706371006450	GZC III - Compleet	Wat zijn de WHO-afkapwaarden voor anemie in mmol/l?	"Hb onder 8,1 mmol/l bij mannen en onder 7,5 mmol/l bij vrouwen. Let op: bij een acute bloeding is het Hb nog niet gedaald en bij dehydratie juist vals normaal door hemoconcentratie<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 8,1 en 7,5: mannen hebben „meer” nodig (13 en 12 g/dl).</span>"	GZC3::A::T1-benigne-hematologie GZC3::doelstelling check::behouden vorm::ezelsbrug
u~Xs!U46X3	1706371006450	GZC III - Compleet	Hoe wordt de ernst van hemofilie geclassificeerd?	"Op basis van de restactiviteit van factor VIII of IX: ernstig onder 1% (spontane bloedingen), matig ernstig 1-5%, mild boven 5%. Normaal is 100%. Alleen bij de ernstige vorm treden spontane gewrichts- en spierbloedingen op<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 „1-5”: &lt;1% ernstig (spontane bloedingen), 1-5% matig, &gt;5% mild.</span>"	GZC3::A::T1-benigne-hematologie GZC3::doelstelling check::behouden vorm::ezelsbrug
kvG!I2Q[3+	1706371006450	GZC III - Compleet	Waar zit de mutatie bij JAK2 V617F en wat is het gevolg?	"In het pseudo-kinasedomein, dat normaal het kinasedomein weer uitzet. Door de mutatie valt die rem weg en blijft het signaal na activatie van de EPO-, TPO- of GM-CSF-receptor continu aanstaan<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 JAK2 = het gaspedaal dat blijft hangen: EPO-, TPO- en GM-CSF-signaal staat continu aan.</span>"	GZC3::A::T2-maligne-hematologie GZC3::doelstelling check::behouden prio::tentamen vorm::ezelsbrug
AaT0,X{&_S	1706371006450	GZC III - Compleet	Bespreek de principes van de behandeling van acute leukemie	"Remissie-inductie (klassiek '7+3': cytarabine plus antracycline), gevolgd door consolidatie en bij hoog risico allogene stamceltransplantatie. Daarnaast intensieve ondersteunende zorg: transfusies, breedspectrumantibiotica bij neutropene koorts, tumorlysisprofylaxe met hydratie en rasburicase/allopurinol<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 7 + 3: zeven dagen cytarabine, drie dagen antracycline.</span>"	GZC3::A::T2-maligne-hematologie GZC3::casus::3.2 GZC3::zelfstudie::Z04 check::behouden vorm::ezelsbrug
D1p-kJea*p	1706371006450	GZC III - Compleet	Waarom vindt stadiëringsonderzoek plaats en welke stadia-indeling wordt gebruikt?	"Om de uitgebreidheid vast te stellen en zo de behandelintensiteit te bepalen. Ann Arbor-classificatie: I één klierstation, II meerdere aan één zijde van het diafragma, III beide zijden, IV diffuse extralymfatische lokalisatie. Toevoeging A/B (B-symptomen), E (extranodaal) en X (bulk)<br><br><span style=""background:#fff3c4;color:#5a4300;padding:2px 6px;border-radius:6px"">💡 Ann Arbor = tel de zijden van het diafragma: I één station, II één zijde, III beide zijden, IV buiten de klieren.</span>"	GZC3::A::T2-maligne-hematologie GZC3::casus::2.1 GZC3::zelfstudie::Z03 check::behouden vorm::ezelsbrug
